"","lon","lat","ele","time"
"285",-61.4535721578,15.304918075,"9.27","2017-04-20T12:27:00Z"
"286",-61.4535628539,15.3049176559,"9.27","2017-04-20T12:27:10Z"
"287",-61.4535532985,15.304918997,"8.79","2017-04-20T12:27:20Z"
"288",-61.4535450842,15.3049329109,"8.79","2017-04-20T12:27:30Z"
"289",-61.4535383787,15.3049366828,"9.27","2017-04-20T12:27:40Z"
"290",-61.4535249677,15.3049237747,"9.75","2017-04-20T12:27:50Z"
"291",-61.45350812,15.3049258702,"10.23","2017-04-20T12:28:00Z"
"292",-61.4535035938,15.3049143031,"9.75","2017-04-20T12:28:10Z"
"293",-61.4534963015,15.3049066756,"9.75","2017-04-20T12:28:20Z"
"294",-61.4534957148,15.3048998024,"9.75","2017-04-20T12:28:30Z"
"295",-61.453498397,15.3048881516,"9.27","2017-04-20T12:28:40Z"
"296",-61.4534554817,15.3049114533,"9.75","2017-04-20T12:28:50Z"
"297",-61.4534274023,15.3049925063,"9.75","2017-04-20T12:29:00Z"
"298",-61.4535000734,15.3050777502,"12.15","2017-04-20T12:29:10Z"
"299",-61.4535996504,15.305145476,"10.71","2017-04-20T12:29:20Z"
"300",-61.4537071902,15.3052113578,"9.75","2017-04-20T12:29:30Z"
"301",-61.4538336731,15.3052843641,"9.75","2017-04-20T12:29:40Z"
"302",-61.4539677836,15.3053595498,"9.27","2017-04-20T12:29:50Z"
"303",-61.454103319,15.305433562,"8.79","2017-04-20T12:30:00Z"
"304",-61.4542457275,15.3055027965,"9.27","2017-04-20T12:30:10Z"
"305",-61.4543832745,15.3055852745,"9.27","2017-04-20T12:30:20Z"
"306",-61.4545196481,15.3056908026,"9.27","2017-04-20T12:30:30Z"
"307",-61.4547238313,15.305813849,"9.27","2017-04-20T12:30:40Z"
"308",-61.4549875259,15.3059473727,"9.27","2017-04-20T12:30:50Z"
"309",-61.4553098939,15.3061613627,"9.27","2017-04-20T12:31:00Z"
"310",-61.455754973,15.3065282386,"10.23","2017-04-20T12:31:10Z"
"311",-61.4564968552,15.3070206754,"10.71","2017-04-20T12:31:20Z"
"312",-61.457304284,15.3075127769,"11.19","2017-04-20T12:31:30Z"
"313",-61.4580833819,15.3080358915,"11.19","2017-04-20T12:31:40Z"
"314",-61.4588847756,15.3085453436,"11.19","2017-04-20T12:31:50Z"
"315",-61.4596839063,15.309092598,"11.19","2017-04-20T12:32:00Z"
"316",-61.460454287,15.309622502,"11.67","2017-04-20T12:32:10Z"
"317",-61.4613149408,15.3100719396,"11.19","2017-04-20T12:32:20Z"
"318",-61.4622827154,15.3105584253,"11.67","2017-04-20T12:32:30Z"
"319",-61.4632202312,15.3111385368,"12.15","2017-04-20T12:32:40Z"
"320",-61.4641077071,15.3117779922,"11.67","2017-04-20T12:32:50Z"
"321",-61.4649872202,15.3124684934,"11.67","2017-04-20T12:33:00Z"
"322",-61.4657286834,15.3133157361,"12.15","2017-04-20T12:33:10Z"
"323",-61.4663128182,15.314239841,"11.67","2017-04-20T12:33:20Z"
"324",-61.4668320771,15.3152164165,"12.15","2017-04-20T12:33:30Z"
"325",-61.4672949258,15.3162259329,"12.15","2017-04-20T12:33:40Z"
"326",-61.4677719399,15.3172075376,"12.15","2017-04-20T12:33:50Z"
"327",-61.4681371395,15.3182113543,"12.63","2017-04-20T12:34:00Z"
"328",-61.4688902535,15.3190026898,"12.63","2017-04-20T12:34:10Z"
"329",-61.4698559325,15.3195271455,"11.67","2017-04-20T12:34:20Z"
"330",-61.4709211048,15.319893267,"11.19","2017-04-20T12:34:30Z"
"331",-61.4719903003,15.3202157188,"10.71","2017-04-20T12:34:40Z"
"332",-61.4730713982,15.3204460535,"10.71","2017-04-20T12:34:50Z"
"333",-61.4741989318,15.3204618115,"10.23","2017-04-20T12:35:00Z"
"334",-61.4753216878,15.3204182256,"10.71","2017-04-20T12:35:10Z"
"335",-61.4763677493,15.3207490593,"10.23","2017-04-20T12:35:20Z"
"336",-61.4772391319,15.3214027639,"10.71","2017-04-20T12:35:30Z"
"337",-61.4780499134,15.3221386112,"11.19","2017-04-20T12:35:40Z"
"338",-61.4788742736,15.322897844,"11.67","2017-04-20T12:35:50Z"
"339",-61.4796300698,15.3236765228,"11.67","2017-04-20T12:36:00Z"
"340",-61.4804009534,15.3244443052,"12.15","2017-04-20T12:36:10Z"
"341",-61.4811462723,15.3247484844,"11.67","2017-04-20T12:36:20Z"
"342",-61.4814627729,15.3248015419,"11.67","2017-04-20T12:36:30Z"
"343",-61.4816601668,15.3248689324,"11.67","2017-04-20T12:36:40Z"
"344",-61.4817902539,15.3249230795,"15.04","2017-04-20T12:36:50Z"
"345",-61.4818690438,15.324959876,"12.15","2017-04-20T12:37:00Z"
"346",-61.4819168206,15.3249964211,"11.67","2017-04-20T12:37:10Z"
"347",-61.4819350932,15.3250323795,"11.19","2017-04-20T12:37:20Z"
"348",-61.4819566347,15.3250481375,"11.19","2017-04-20T12:37:30Z"
"349",-61.4819778409,15.3250718582,"11.67","2017-04-20T12:37:40Z"
"350",-61.4819930121,15.3250694275,"11.19","2017-04-20T12:37:50Z"
"351",-61.4820047468,15.325070601,"11.19","2017-04-20T12:38:00Z"
"352",-61.4820122905,15.3250717744,"10.23","2017-04-20T12:38:10Z"
"353",-61.482029641,15.3250805754,"10.23","2017-04-20T12:38:20Z"
"354",-61.4820464887,15.325084934,"9.75","2017-04-20T12:38:30Z"
"355",-61.4820531104,15.3250984289,"9.75","2017-04-20T12:38:40Z"
"356",-61.4820626657,15.3251134325,"9.75","2017-04-20T12:38:50Z"
"357",-61.4820771664,15.3251279332,"9.27","2017-04-20T12:39:00Z"
"358",-61.4820749871,15.3251246642,"9.75","2017-04-20T12:39:10Z"
"359",-61.4820765797,15.3251344711,"9.27","2017-04-20T12:39:20Z"
